timestamp(date),trip_id(Varchar2(60)),depart_airport(Varchar2(4)),return_airport(Varchar2(4)),depart_date(date),return_date(date),total_cost(Integer),depart_datetime(date),depart_duration(Integer),depart_stops(Integer),return_datetime(date),return_duration(integer),return_stops(integer)
6/26/2022 9:15,SFO-IAD-07/14/2022-07/18/2022,SFO,IAD,7/14/2022,7/18/2022,1008,7/14/2022 7:00,310,0,7/18/2022 16:10,355,0
6/26/2022 9:16,SFO-IAD-07/21/2022-07/25/2022,SFO,IAD,7/21/2022,7/25/2022,1026,7/21/2022 7:00,310,0,7/25/2022 7:00,634,1
6/26/2022 9:17,SFO-IAD-07/28/2022-08/01/2022,SFO,IAD,7/28/2022,8/1/2022,1008,7/28/2022 7:00,310,0,8/1/2022 16:10,355,0
6/26/2022 9:18,SFO-IAD-08/04/2022-08/08/2022,SFO,IAD,8/4/2022,8/8/2022,1114,8/4/2022 5:35,495,1,8/8/2022 6:45,805,1
6/26/2022 9:19,SFO-IAD-08/11/2022-08/15/2022,SFO,IAD,8/11/2022,8/15/2022,1007,8/11/2022 13:29,471,1,8/15/2022 10:59,551,1
6/26/2022 9:20,SFO-IAD-08/18/2022-08/22/2022,SFO,IAD,8/18/2022,8/22/2022,929,8/18/2022 7:06,847,1,8/22/2022 17:30,497,1
6/26/2022 9:21,SFO-IAD-08/25/2022-08/29/2022,SFO,IAD,8/25/2022,8/29/2022,708,8/25/2022 7:00,310,0,8/29/2022 16:10,355,0
6/26/2022 9:22,SFO-IAD-09/01/2022-09/05/2022,SFO,IAD,9/1/2022,9/5/2022,846,9/1/2022 13:32,461,1,9/5/2022 6:00,588,1
6/26/2022 9:23,SFO-IAD-09/08/2022-09/12/2022,SFO,IAD,9/8/2022,9/12/2022,433,9/8/2022 13:41,431,1,9/12/2022 13:35,523,1
6/26/2022 9:24,SFO-IAD-09/15/2022-09/19/2022,SFO,IAD,9/15/2022,9/19/2022,465,9/15/2022 7:00,300,0,9/19/2022 13:35,623,1
6/26/2022 9:25,SFO-IAD-09/22/2022-09/26/2022,SFO,IAD,9/22/2022,9/26/2022,465,9/22/2022 23:55,451,1,9/26/2022 16:00,349,0
6/26/2022 9:26,SFO-IAD-09/29/2022-10/03/2022,SFO,IAD,9/29/2022,10/3/2022,465,9/29/2022 23:55,451,1,10/3/2022 16:00,349,0
6/26/2022 9:27,SFO-IAD-10/06/2022-10/10/2022,SFO,IAD,10/6/2022,10/10/2022,498,10/6/2022 7:00,300,0,10/10/2022 16:05,360,0
6/26/2022 9:27,SFO-IAD-10/13/2022-10/17/2022,SFO,IAD,10/13/2022,10/17/2022,498,10/13/2022 7:00,300,0,10/17/2022 16:05,360,0
6/26/2022 9:28,SFO-IAD-10/20/2022-10/24/2022,SFO,IAD,10/20/2022,10/24/2022,517,10/20/2022 23:40,459,1,10/24/2022 16:05,360,0
6/26/2022 9:29,SFO-IAD-10/27/2022-10/31/2022,SFO,IAD,10/27/2022,10/31/2022,597,10/27/2022 7:00,300,0,10/31/2022 17:56,476,1
6/26/2022 9:30,SFO-IAD-11/03/2022-11/07/2022,SFO,IAD,11/3/2022,11/7/2022,538,11/3/2022 23:55,459,1,11/7/2022 19:06,495,1
6/26/2022 9:31,SFO-IAD-11/10/2022-11/14/2022,SFO,IAD,11/10/2022,11/14/2022,538,11/10/2022 11:30,543,1,11/14/2022 19:06,495,1
6/26/2022 9:32,SFO-IAD-11/17/2022-11/21/2022,SFO,IAD,11/17/2022,11/21/2022,555,11/17/2022 11:30,543,1,11/21/2022 17:56,476,1
6/26/2022 9:33,SFO-IAD-11/24/2022-11/28/2022,SFO,IAD,11/24/2022,11/28/2022,665,11/24/2022 11:30,543,1,11/28/2022 16:05,368,0
6/26/2022 9:34,SFO-IAD-12/01/2022-12/05/2022,SFO,IAD,12/1/2022,12/5/2022,525,12/1/2022 11:30,543,1,12/5/2022 6:39,629,1
6/26/2022 9:35,SFO-IAD-12/08/2022-12/12/2022,SFO,IAD,12/8/2022,12/12/2022,485,12/8/2022 11:30,543,1,12/12/2022 6:39,629,1
6/26/2022 9:36,SFO-IAD-12/15/2022-12/19/2022,SFO,IAD,12/15/2022,12/19/2022,647,12/15/2022 11:30,543,1,12/19/2022 16:05,368,0
6/26/2022 9:37,SFO-IAD-12/22/2022-12/26/2022,SFO,IAD,12/22/2022,12/26/2022,836,12/22/2022 23:55,459,1,12/26/2022 16:05,368,0
6/26/2022 9:38,SFO-IAD-12/29/2022-01/02/2023,SFO,IAD,12/29/2022,1/2/2023,657,12/29/2022 23:55,459,1,1/2/2023 16:05,368,0
6/26/2022 9:39,SJC-MSY-06/30/2022-07/04/2022,SJC,MSY,6/30/2022,7/4/2022,1470,6/30/2022 12:37,484,2,7/4/2022 6:00,420,1
6/26/2022 9:40,SJC-MSY-07/07/2022-07/11/2022,SJC,MSY,7/7/2022,7/11/2022,938,7/7/2022 6:10,414,1,7/11/2022 6:00,472,2
6/26/2022 9:41,SJC-MSY-07/14/2022-07/18/2022,SJC,MSY,7/14/2022,7/18/2022,897,7/14/2022 9:08,598,2,7/18/2022 6:00,710,2
6/26/2022 9:42,SJC-MSY-07/21/2022-07/25/2022,SJC,MSY,7/21/2022,7/25/2022,1125,7/21/2022 9:08,693,2,7/25/2022 11:07,564,2
6/26/2022 9:43,SJC-MSY-07/28/2022-08/01/2022,SJC,MSY,7/28/2022,8/1/2022,1034,7/28/2022 13:55,431,1,8/1/2022 11:07,673,1
6/26/2022 9:44,SJC-MSY-08/04/2022-08/08/2022,SJC,MSY,8/4/2022,8/8/2022,1011,8/4/2022 6:10,652,1,8/8/2022 7:25,625,2
6/26/2022 9:45,SJC-MSY-08/11/2022-08/15/2022,SJC,MSY,8/11/2022,8/15/2022,860,8/11/2022 13:55,437,1,8/15/2022 15:55,385,1
