timestamp,trip_id,depart_airport,return_airport,flight_code,depart_date,return_date,total_cost,depart_datetime,flight_time,depart_duration,depart_stops,return_datetime,return_duration,return_stops
6/26/22 9:03,LAX-ORD-10/20/2022-10/24/2022,LAX,ORD,LAX to ORD,10/20/22,10/24/22,412,10/20/22 8:00,8:00 AM,243,0,10/24/22 20:55,261,0
6/26/22 9:04,LAX-ORD-10/27/2022-10/31/2022,LAX,ORD,LAX to ORD,10/27/22,10/31/22,401,10/27/22 8:00,8:00 AM,243,0,10/31/22 20:15,271,0
6/26/22 9:05,LAX-ORD-11/03/2022-11/07/2022,LAX,ORD,LAX to ORD,11/3/22,11/7/22,472,11/3/22 11:40,11:40 AM,245,0,11/7/22 11:45,264,0
6/26/22 9:06,LAX-ORD-11/10/2022-11/14/2022,LAX,ORD,LAX to ORD,11/10/22,11/14/22,451,11/10/22 8:10,8:10 AM,350,1,11/14/22 11:45,264,0
6/26/22 9:07,LAX-ORD-11/17/2022-11/21/2022,LAX,ORD,LAX to ORD,11/17/22,11/21/22,472,11/17/22 8:17,8:17 AM,243,0,11/21/22 11:45,264,0
6/26/22 9:08,LAX-ORD-11/24/2022-11/28/2022,LAX,ORD,LAX to ORD,11/24/22,11/28/22,511,11/24/22 8:17,8:17 AM,243,0,11/28/22 13:15,273,0
6/26/22 9:09,LAX-ORD-12/01/2022-12/05/2022,LAX,ORD,LAX to ORD,12/1/22,12/5/22,451,12/1/22 8:10,8:10 AM,350,1,12/5/22 11:45,264,0
6/26/22 9:10,LAX-ORD-12/08/2022-12/12/2022,LAX,ORD,LAX to ORD,12/8/22,12/12/22,451,12/8/22 8:10,8:10 AM,350,1,12/12/22 11:45,264,0
6/26/22 9:10,LAX-ORD-12/15/2022-12/19/2022,LAX,ORD,LAX to ORD,12/15/22,12/19/22,471,12/15/22 8:17,8:17 AM,243,0,12/19/22 16:35,345,1
6/26/22 9:11,LAX-ORD-12/22/2022-12/26/2022,LAX,ORD,LAX to ORD,12/22/22,12/26/22,621,12/22/22 18:05,6:05 PM,234,0,12/26/22 8:20,425,1
6/26/22 9:12,LAX-ORD-12/29/2022-01/02/2023,LAX,ORD,LAX to ORD,12/29/22,1/2/23,582,12/29/22 15:25,3:25 PM,240,0,1/2/23 18:20,269,0
6/26/22 9:14,SFO-IAD-06/30/2022-07/04/2022,SFO,IAD,SFO to IAD,6/30/22,7/4/22,971,6/30/22 7:05,7:05 AM,310,0,7/4/22 7:00,553,1
6/26/22 9:14,SFO-IAD-07/07/2022-07/11/2022,SFO,IAD,SFO to IAD,7/7/22,7/11/22,918,7/7/22 13:29,1:29 PM,471,1,7/11/22 16:10,355,0
6/26/22 9:15,SFO-IAD-07/14/2022-07/18/2022,SFO,IAD,SFO to IAD,7/14/22,7/18/22,1008,7/14/22 7:00,7:00 AM,310,0,7/18/22 16:10,355,0
6/26/22 9:16,SFO-IAD-07/21/2022-07/25/2022,SFO,IAD,SFO to IAD,7/21/22,7/25/22,1026,7/21/22 7:00,7:00 AM,310,0,7/25/22 7:00,634,1
6/26/22 9:17,SFO-IAD-07/28/2022-08/01/2022,SFO,IAD,SFO to IAD,7/28/22,8/1/22,1008,7/28/22 7:00,7:00 AM,310,0,8/1/22 16:10,355,0
6/26/22 9:18,SFO-IAD-08/04/2022-08/08/2022,SFO,IAD,SFO to IAD,8/4/22,8/8/22,1114,8/4/22 5:35,5:35 AM,495,1,8/8/22 6:45,805,1
6/26/22 9:19,SFO-IAD-08/11/2022-08/15/2022,SFO,IAD,SFO to IAD,8/11/22,8/15/22,1007,8/11/22 13:29,1:29 PM,471,1,8/15/22 10:59,551,1
6/26/22 9:20,SFO-IAD-08/18/2022-08/22/2022,SFO,IAD,SFO to IAD,8/18/22,8/22/22,929,8/18/22 7:06,7:06 AM,847,1,8/22/22 17:30,497,1
6/26/22 9:21,SFO-IAD-08/25/2022-08/29/2022,SFO,IAD,SFO to IAD,8/25/22,8/29/22,708,8/25/22 7:00,7:00 AM,310,0,8/29/22 16:10,355,0
6/26/22 9:22,SFO-IAD-09/01/2022-09/05/2022,SFO,IAD,SFO to IAD,9/1/22,9/5/22,846,9/1/22 13:32,1:32 PM,461,1,9/5/22 6:00,588,1
6/26/22 9:23,SFO-IAD-09/08/2022-09/12/2022,SFO,IAD,SFO to IAD,9/8/22,9/12/22,433,9/8/22 13:41,1:41 PM,431,1,9/12/22 13:35,523,1
6/26/22 9:24,SFO-IAD-09/15/2022-09/19/2022,SFO,IAD,SFO to IAD,9/15/22,9/19/22,465,9/15/22 7:00,7:00 AM,300,0,9/19/22 13:35,623,1
6/26/22 9:25,SFO-IAD-09/22/2022-09/26/2022,SFO,IAD,SFO to IAD,9/22/22,9/26/22,465,9/22/22 23:55,11:55 PM,451,1,9/26/22 16:00,349,0
6/26/22 9:26,SFO-IAD-09/29/2022-10/03/2022,SFO,IAD,SFO to IAD,9/29/22,10/3/22,465,9/29/22 23:55,11:55 PM,451,1,10/3/22 16:00,349,0
6/26/22 9:27,SFO-IAD-10/06/2022-10/10/2022,SFO,IAD,SFO to IAD,10/6/22,10/10/22,498,10/6/22 7:00,7:00 AM,300,0,10/10/22 16:05,360,0
6/26/22 9:27,SFO-IAD-10/13/2022-10/17/2022,SFO,IAD,SFO to IAD,10/13/22,10/17/22,498,10/13/22 7:00,7:00 AM,300,0,10/17/22 16:05,360,0
6/26/22 9:28,SFO-IAD-10/20/2022-10/24/2022,SFO,IAD,SFO to IAD,10/20/22,10/24/22,517,10/20/22 23:40,11:40 PM,459,1,10/24/22 16:05,360,0
6/26/22 9:29,SFO-IAD-10/27/2022-10/31/2022,SFO,IAD,SFO to IAD,10/27/22,10/31/22,597,10/27/22 7:00,7:00 AM,300,0,10/31/22 17:56,476,1
6/26/22 9:30,SFO-IAD-11/03/2022-11/07/2022,SFO,IAD,SFO to IAD,11/3/22,11/7/22,538,11/3/22 23:55,11:55 PM,459,1,11/7/22 19:06,495,1
6/26/22 9:31,SFO-IAD-11/10/2022-11/14/2022,SFO,IAD,SFO to IAD,11/10/22,11/14/22,538,11/10/22 11:30,11:30 AM,543,1,11/14/22 19:06,495,1
6/26/22 9:32,SFO-IAD-11/17/2022-11/21/2022,SFO,IAD,SFO to IAD,11/17/22,11/21/22,555,11/17/22 11:30,11:30 AM,543,1,11/21/22 17:56,476,1
