time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
2022-07-06 11:04:43,SFO-IAD-09/29/2022-10/03/2022,SFO,IAD,09/29/2022,10/03/2022,465.00,09-29-2022 23:55:00,451,1,10-03-2022 16:00:00,349,0
2022-07-06 11:05:41,SFO-IAD-10/06/2022-10/10/2022,SFO,IAD,10/06/2022,10/10/2022,537.00,10-06-2022 23:40:00,459,1,10-10-2022 16:05:00,360,0
2022-07-06 11:06:37,SFO-IAD-10/13/2022-10/17/2022,SFO,IAD,10/13/2022,10/17/2022,498.00,10-13-2022 07:00:00,300,0,10-17-2022 16:05:00,360,0
2022-07-06 11:07:32,SFO-IAD-10/20/2022-10/24/2022,SFO,IAD,10/20/2022,10/24/2022,517.00,10-20-2022 23:40:00,459,1,10-24-2022 16:05:00,360,0
2022-07-06 11:08:31,SFO-IAD-10/27/2022-10/31/2022,SFO,IAD,10/27/2022,10/31/2022,498.00,10-27-2022 07:00:00,300,0,10-31-2022 16:05:00,360,0
2022-07-06 11:09:24,SFO-IAD-11/03/2022-11/07/2022,SFO,IAD,11/03/2022,11/07/2022,498.00,11-03-2022 07:00:00,300,0,11-07-2022 16:05:00,360,0
2022-07-06 11:10:20,SFO-IAD-11/10/2022-11/14/2022,SFO,IAD,11/10/2022,11/14/2022,498.00,11-10-2022 07:00:00,300,0,11-14-2022 16:05:00,360,0
2022-07-06 11:11:14,SFO-IAD-11/17/2022-11/21/2022,SFO,IAD,11/17/2022,11/21/2022,547.00,11-17-2022 11:30:00,543,1,11-21-2022 16:05:00,368,0
2022-07-06 11:12:14,SFO-IAD-11/24/2022-11/28/2022,SFO,IAD,11/24/2022,11/28/2022,667.00,11-24-2022 08:14:00,418,1,11-28-2022 16:05:00,368,0
2022-07-06 11:13:14,SFO-IAD-12/01/2022-12/05/2022,SFO,IAD,12/01/2022,12/05/2022,498.00,12-01-2022 07:00:00,301,0,12-05-2022 16:05:00,368,0
2022-07-06 11:14:08,SFO-IAD-12/08/2022-12/12/2022,SFO,IAD,12/08/2022,12/12/2022,465.00,12-08-2022 07:00:00,301,0,12-12-2022 06:39:00,629,1
2022-07-06 11:15:04,SFO-IAD-12/15/2022-12/19/2022,SFO,IAD,12/15/2022,12/19/2022,675.00,12-15-2022 11:30:00,543,1,12-19-2022 16:05:00,368,0
2022-07-06 11:16:03,SFO-IAD-12/22/2022-12/26/2022,SFO,IAD,12/22/2022,12/26/2022,836.00,12-22-2022 11:30:00,543,1,12-26-2022 16:05:00,368,0
2022-07-06 11:17:00,SFO-IAD-12/29/2022-01/02/2023,SFO,IAD,12/29/2022,01/02/2023,718.00,12-29-2022 07:00:00,301,0,01-02-2023 16:05:00,368,0
2022-07-06 11:17:57,SFO-IAD-01/05/2023-01/09/2023,SFO,IAD,01/05/2023,01/09/2023,485.00,01-05-2023 11:30:00,543,1,01-09-2023 16:05:00,368,0
